time,value
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,4
152,4
153,4
154,4
155,4
156,4
157,4
158,4
159,4
160,4
161,4
162,4
163,4
164,4
165,4
166,4
167,4
168,4
169,4
170,4
171,4
172,4
173,4
174,4
175,4
176,4
177,4
178,4
179,4
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,5
203,5
204,5
205,5
206,5
207,5
208,5
209,5
210,5
211,5
212,5
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,6
221,6
222,6
223,6
224,6
225,6
226,6
227,6
228,6
229,6
230,6
231,6
232,6
233,6
234,6
235,6
236,6
237,6
238,6
239,6
240,6
241,6
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,7
250,7
251,7
252,7
253,7
254,7
255,7
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,7
265,7
266,7
267,8
268,8
269,8
270,8
271,8
272,8
273,8
274,8
275,8
276,8
277,8
278,8
279,8
280,8
281,8
282,8
283,8
284,8
285,8
286,8
287,8
288,8
289,9
290,9
291,9
292,9
293,9
294,9
295,9
296,9
297,9
298,9
299,9
300,9
301,9
302,9
303,9
304,9
305,9
306,9
307,9
308,9
309,10
310,10
311,10
312,10
313,10
314,10
315,10
316,10
317,10
318,10
319,10
320,10
321,10
322,10
323,10
324,10
325,10
326,10
327,10
328,11
329,11
330,11
331,11
332,11
333,11
334,11
335,11
336,11
337,11
338,11
339,11
340,11
341,11
342,11
343,11
344,11
345,12
346,12
347,12
348,12
349,12
350,12
351,12
352,12
353,12
354,12
355,12
356,12
357,12
358,12
359,12
360,12
361,13
362,13
363,13
364,13
365,13
366,13
367,13
368,13
369,13
370,13
371,13
372,13
373,13
374,13
375,13
376,14
377,14
378,14
379,14
380,14
381,14
382,14
383,14
384,14
385,14
386,14
387,14
388,14
389,14
390,15
391,15
392,15
393,15
394,15
395,15
396,15
397,15
398,15
399,15
400,15
401,15
402,15
403,16
404,16
405,16
406,16
407,16
408,16
409,16
410,16
411,16
412,16
413,16
414,16
415,17
416,17
417,17
418,17
419,17
420,17
421,17
422,17
423,17
424,17
425,17
426,17
427,18
428,18
429,18
430,18
431,18
432,18
433,18
434,18
435,18
436,18
437,18
438,19
439,19
440,19
441,19
442,19
443,19
444,19
445,19
446,19
447,19
448,19
449,20
450,20
451,20
452,20
453,20
454,20
455,20
456,20
457,20
458,20
459,21
460,21
461,21
462,21
463,21
464,21
465,21
466,21
467,21
468,21
469,22
470,22
471,22
472,22
473,22
474,22
475,22
476,22
477,22
478,22
479,23
480,23
481,23
482,23
483,23
484,23
485,23
486,23
487,23
488,24
489,24
490,24
491,24
492,24
493,24
494,24
495,24
496,24
497,25
498,25
499,25
500,25
501,25
502,25
503,25
504,25
505,26
506,26
507,26
508,26
509,26
510,26
511,26
512,26
513,27
514,27
515,27
516,27
517,27
518,27
519,27
520,27
521,28
522,28
523,28
524,28
525,28
526,28
527,28
528,28
529,29
530,29
531,29
532,29
533,29
534,29
535,29
536,29
537,30
538,30
539,30
540,30
541,30
542,30
543,30
544,31
545,31
546,31
547,31
548,31
549,31
550,31
551,32
552,32
553,32
554,32
555,32
556,32
557,32
558,33
559,33
560,33
561,33
562,33
563,33
564,33
565,34
566,34
567,34
568,34
569,34
570,34
571,34
572,35
573,35
574,35
575,35
576,35
577,35
578,36
579,36
580,36
581,36
582,36
583,36
584,37
585,37
586,37
587,37
588,37
589,37
590,38
591,38
592,38
593,38
594,38
595,38
596,38
597,39
598,39
599,39
600,39
601,39
602,40
603,40
604,40
605,40
606,40
607,40
608,41
609,41
610,41
611,41
612,41
613,41
614,42
615,42
616,42
617,42
618,42
619,43
620,43
621,43
622,43
623,43
624,43
625,44
626,44
627,44
628,44
629,44
630,45
631,45
632,45
633,45
634,45
635,46
636,46
637,46
638,46
639,46
640,46
641,47
642,47
643,47
644,47
645,47
646,48
647,48
648,48
649,48
650,48
651,49
652,49
653,49
654,49
655,49
656,50
657,50
658,50
659,50
660,51
661,51
662,51
663,51
664,51
665,52
666,52
667,52
668,52
669,52
670,53
671,53
672,53
673,53
674,54
675,54
676,54
677,54
678,54
679,55
680,55
681,55
682,55
683,56
684,56
685,56
686,56
687,56
688,57
689,57
690,57
691,57
692,58
693,58
694,58
695,58
696,59
697,59
698,59
699,59
700,59
701,60
702,60
703,60
704,60
705,61
706,61
707,61
708,61
709,62
710,62
711,62
712,62
713,63
714,63
715,63
716,63
717,64
718,64
719,64
720,64
721,65
722,65
723,65
724,65
725,66
726,66
727,66
728,66
729,67
730,67
731,67
732,68
733,68
734,68
735,68
736,69
737,69
738,69
739,69
740,70
741,70
742,70
743,70
744,71
745,71
746,71
747,72
748,72
749,72
750,72
751,73
752,73
753,73
754,74
755,74
756,74
757,74
758,75
759,75
760,75
761,76
762,76
763,76
764,76
765,77
766,77
767,77
768,78
769,78
770,78
771,78
772,79
773,79
774,79
775,80
776,80
777,80
778,81
779,81
780,81
781,81
782,82
783,82
784,82
785,83
786,83
787,83
788,84
789,84
790,84
791,85
792,85
793,85
794,86
795,86
796,86
797,87
798,87
799,87
800,87
801,88
802,88
803,88
804,89
805,89
806,89
807,90
808,90
809,90
810,91
811,91
812,91
